Date,open,high,low,code,close,pctChg,volume,amount,turn
1994-07-22,378.1900,378.2300,362.2900,sh.000001,363.73,-4.507740,78275100,357768192.0000,0.008495
1994-07-25,357.4000,375.3900,354.5000,sh.000001,375.39,3.205676,94069100,425631040.0000,0.010203
1994-07-26,376.7600,388.8000,372.1100,sh.000001,388.75,3.558961,169389200,797643776.0000,0.018372
1994-07-27,387.8100,392.1700,369.0400,sh.000001,371.1,-4.540191,183464600,855892480.0000,0.019898
1994-07-28,366.5500,367.7200,339.0400,sh.000001,339.81,-8.431692,128077400,557004736.0000,0.013891
1994-07-29,335.4500,338.9600,325.8900,sh.000001,333.92,-1.733317,118338800,482767168.0000,0.012835
1994-08-01,394.8700,448.9100,377.9700,sh.000001,445.64,33.457120,620399100,3047689984.0000,0.067159
1994-08-02,451.1800,494.8100,431.5800,sh.000001,432.61,-2.923891,918894900,5343167488.0000,0.099472
1994-08-03,438.5200,523.0300,434.1100,sh.000001,522.98,20.889480,834483700,4575471616.0000,0.090334
1994-08-04,558.6900,592.9800,522.9800,sh.000001,562.77,7.608329,1757599400,10538590208.0000,0.190263
1994-08-05,579.4700,683.0400,582.1100,sh.000001,683.04,21.371070,1773058400,10436576256.0000,0.191937
1994-08-08,720.4800,754.6700,671.6700,sh.000001,711.8,4.210589,1587678200,11441736704.0000,0.171631
1994-08-09,715.5400,705.0800,608.6800,sh.000001,621.58,-12.674910,962049900,6787234816.0000,0.103096
1994-08-10,619.3400,739.6600,597.2600,sh.000001,739.66,18.996740,1428386900,9542152192.0000,0.153070
1994-08-11,765.3200,768.0800,684.5300,sh.000001,689.31,-6.807178,1692973800,12471932928.0000,0.180784
1994-08-12,676.0700,731.0200,675.2800,sh.000001,689.66,0.050772,725485600,4955084288.0000,0.077429
1994-08-15,671.1000,691.2200,654.2200,sh.000001,665.88,-3.448071,455125800,3055076352.0000,0.048523
1994-08-16,670.0000,713.9000,668.0000,sh.000001,693.01,4.074308,720002800,4355285504.0000,0.076763
1994-08-17,703.8800,725.0400,693.0200,sh.000001,725.04,4.621862,541875700,4597869568.0000,0.057772
1994-08-18,734.8400,772.3200,726.0900,sh.000001,748.56,3.243962,1324072400,11000313856.0000,0.140443
1994-08-19,750.6700,760.2700,707.0200,sh.000001,713.85,-4.636906,842797100,6684195328.0000,0.089394
1994-08-22,680.0700,697.5500,668.7200,sh.000001,681.8,-4.489737,468926000,3362148096.0000,0.049644
1994-08-23,694.7100,714.6200,673.6700,sh.000001,714.61,4.812262,409911200,3007486720.0000,0.043396
1994-08-24,718.6100,727.4100,704.6700,sh.000001,705.71,-1.245430,510421800,4762955264.0000,0.053754
